,name,artist,release_date,genres
1873,50-50 (feat. Instupendo),Toro y Moi,2019,"['alternative dance', 'art pop', 'chillwave', 'indie pop', 'indie soul', 'indietronica', 'new rave', 'nu gaze']"
1874,The Only Way I Know (with Luke Bryan and Eric Church),Jason Aldean,2012,"['contemporary country', 'country', 'country road']"
1875,Spinning Wheel,"Blood, Sweat & Tears",1968,"['album rock', 'art rock', 'blues rock', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'jazz rock', 'mellow gold', 'psychedelic rock', 'soft rock', 'symphonic rock']"
1876,You Can Pack Your Suitcase,Fats Domino,2018,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
1877,Endless Endless - 2009 Remastered Version,Kraftwerk,1977,"['art rock', 'dance rock', 'dusseldorf electronic', 'early synthpop', 'electro', 'krautrock', 'new romantic', 'new wave', 'proto-techno', 'synthpop']"
1878,"Concerto in G Minor, Op. 9, No. 8: I. Allegro",Tomaso Albinoni,2018,"['baroque', 'classical', 'early music', 'harpsichord', 'italian baroque', 'italian opera']"
1879,Mr. Magic Sticks,Dan Cummins,2015,"['comedy', 'deep comedy', 'new comedy']"
1880,Pray,Nana Mizuki,2011,"['anime', 'j-poprock']"
1881,My President,Jeezy,2008,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
1882,Red Red Wine - Cumbia Version,Santaferia,2018,['cumbia chilena']
1883,FREEZE,WHATUPRG,2019,"['christian hip hop', 'christian trap']"
1884,Close Your Eyes,Oscar Peterson,1959,"['adult standards', 'bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz piano', 'stride', 'swing', 'vocal jazz']"
1885,Overflow - Live,Israel & New Breed,2012,"['gospel', 'naija worship', 'world worship']"
1886,It Aint Cool To Be Crazy About You,George Strait,2004,"['contemporary country', 'country', 'country road']"
1887,"Baby, I Love Your Way",Peter Frampton,2016,"['album rock', 'art rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'symphonic rock']"
1888,Roméo et Juliette / Act 5: Cest la!...Salut! Tombeau!,Charles Gounod,2012,"['classical', 'french opera', 'french romanticism', 'late romantic era']"
1889,I Can Talk,Two Door Cinema Club,2010,"['indie pop', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie', 'rock']"
1890,네가 남겨둔 말 Our Page,SHINee,2018,"['k-pop', 'k-pop boy group', 'korean pop']"
1891,Late Night Tales: Bonobo,Bonobo,2013,"['downtempo', 'electronica', 'jazztronica', 'ninja', 'nu jazz', 'trip hop']"
1892,New World,FLOW,2015,"['anime', 'anime score', 'j-poprock', 'otacore']"
1893,Droptop in the Rain (feat. Tory Lanez),Ty Dolla $ign,2017,"['hip hop', 'pop', 'pop rap', 'r&b', 'trap', 'trap soul']"
1894,I Dont Die,Joyner Lucas,2018,"['boston hip hop', 'hip hop', 'pop rap', 'rap']"
1895,Water Skiing,Christopher Titus,2013,"['comedy', 'comic', 'new comedy']"
1896,Nakamarra (Rox N Stix Desert Mix),Hiatus Kaiyote,2016,"['australian r&b', 'indie jazz', 'indie soul', 'neo r&b', 'neo soul', 'shiver pop']"
1897,Tosca Fantasy,Giacomo Puccini,2009,['classical saxophone']
1898,Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,2015,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
1899,Roméo et Juliette / Act 2: Ecoute! on vient,Charles Gounod,2012,"['classical', 'french opera', 'french romanticism', 'late romantic era']"
1900,El Taxi,Pitbull,2015,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop dance', 'pop rap']"
1901,Icarus (feat. Ari Lennox),Bas,2018,"['hip hop', 'pop rap', 'queens hip hop', 'rap', 'sudanese pop', 'underground hip hop']"
1902,His Name Shall Be,Matt Redman,2016,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'uk worship', 'world worship', 'worship']"
1903,Girls Like That,Krizz Kaliko,2013,"['country rap', 'kansas city hip hop', 'rap rock', 'southern hip hop']"
1904,Turn The Other Cheek,Jay Som,2018,"['art pop', 'bay area indie', 'chillwave', 'indie folk', 'indie pop', 'indie rock', 'oakland indie', 'small room']"
1905,"Hungarian Rhapsody No. 2 in C-Sharp Minor, S. 244",Franz Liszt,2013,"['chinese classical performance', 'chinese classical piano', 'classical', 'classical performance', 'classical piano']"
1906,Gold,Imagine Dragons,2014,"['modern rock', 'pop', 'rock']"
1907,Remain,Random Rab,2019,"['livetronica', 'world fusion']"
1908,Im Glad Trouble Dont Last Always,Luke Winslow-King,2016,"['michigan folk', 'michigan indie']"
1909,Town of Corazon,Strung Out,2018,"['melodic hardcore', 'pop punk', 'punk', 'ska punk', 'skate punk']"
1910,Anakins Dark Deeds,John Williams,2005,['soundtrack']
1911,"Après un rêve, Op. 7, No. 1",Gabriel Fauré,2015,"['classical', 'classical cello', 'classical performance']"
1912,HAIFISCH,Rammstein,2009,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
1913,My Take on Marrieage,Steve Byrne,2014,"['comedy', 'deep comedy', 'new comedy']"
1914,Stick,MF Eistee,2018,"['chillhop', 'jazz boom bap']"
1915,old chair,Chihei Hatakeyama,2017,"['ambient', 'compositional ambient', 'drift', 'drone', 'experimental ambient', 'fourth world', 'j-ambient']"
1916,Why Her Not Me,Grace Carter,2018,"['indie anthem-folk', 'indie cafe pop', 'pop', 'uk contemporary r&b', 'uk pop']"
1917,Naturally,Lime Cordiale,2017,"['australian indie', 'australian pop']"
1918,Sound of Madness,Shinedown,2008,"['alternative metal', 'nu metal', 'post-grunge']"
1919,Babatunde - um.. Remix,PEEKABOO,2019,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap']"
1920,Chevy Impala,Lolo Zouaï,2019,"['alternative r&b', 'electropop', 'pop']"
1921,Switch,Cass McCombs,2016,"['alternative country', 'art pop', 'baroque pop', 'chamber pop', 'freak folk', 'funk', 'indie folk', 'indie pop', 'indie rock', 'indie soul', 'singer-songwriter', 'stomp and holler']"
1922,Forever On Your Side (with JOHNNYSWIM),NEEDTOBREATHE,2018,"['acoustic pop', 'ccm', 'christian alternative rock', 'christian indie', 'christian music', 'folk-pop', 'indiecoustica', 'neo mellow', 'pop rock', 'worship']"
1923,Shukumei,Yasuharu Takanashi,2017,"['anime', 'anime score', 'j-poprock', 'japanese celtic', 'otacore']"
1924,Lowlife,Theory of a Deadman,2011,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'wrestling']"
1925,A Thousand Years,Christina Perri,2011,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
1926,Breaking The Habit,Linkin Park,2003,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
1927,Rocky Mountain Way,Joe Walsh,1973,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock', 'symphonic rock']"
1928,En el Aire,Nonpalidece,2015,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']"
1929,The Fighter,In This Moment,2014,"['alternative metal', 'melodic metalcore', 'nu metal']"
1930,One More Day,The Wood Brothers,2006,"['blues rock', 'deep new americana', 'funk', 'jam band', 'new americana', 'progressive bluegrass', 'roots rock', 'stomp and holler']"
1931,Whirring,The Joy Formidable,2011,"['indie rock', 'metropopolis', 'welsh indie', 'welsh rock']"
1932,Filthy Rich,Evalyn,2017,"['electropop', 'indie electropop', 'indie poptimism', 'vapor soul']"
1933,Land of 1000 Dances,Wilson Pickett,1966,"['brill building pop', 'classic soul', 'folk rock', 'funk', 'memphis soul', 'motown', 'rock-and-roll', 'soul', 'southern soul']"
1934,Home Sweet Home,Mötley Crüe,1985,"['glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']"
1935,Feeling Alright,Rebelution,2007,['reggae rock']
1936,Silhouettes,Colony House,2014,"['indie pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'stomp and holler']"
1937,Songbird,Bailey Bryan,2018,"['contemporary country', 'country pop']"
1938,Too Much,Rendezvous At Two,2017,['bedroom soul']
1939,Dream A Little Dream Of Me - Album Version With Introduction,The Mamas & The Papas,1968,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']"
1940,Lets Do It,11 Acorn Lane,2018,"['electro swing', 'nu jazz']"
1941,Vibrations,Croosh,2017,"['deep underground hip hop', 'trap soul']"
1942,Soramo Toberuhazu,negoto,2017,"['j-pixie', 'j-poprock', 'j-rock', 'japanese electropop']"
1943,Deja Vu (Tonantzin),Panteon Rococo,2018,"['latin alternative', 'latin rock', 'mexican rock', 'rock en espanol', 'ska mexicano']"
1944,Fall In Line (feat. Demi Lovato),Christina Aguilera,2018,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']"
1945,Shes A Ho,Mr. Vegas,2009,"['azonto', 'dancehall', 'panamanian pop', 'reggae fusion', 'soca']"
1946,Stranger,Dijon,2017,"['alternative r&b', 'bedroom soul', 'chill r&b', 'indie r&b']"
1947,Rendezvous,Najee,2013,"['smooth jazz', 'smooth saxophone']"
1948,Liar,Korn,2005,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']"
1949,She Moves In Her Own Way,The Kooks,2006,"['brighton indie', 'modern rock', 'rock']"
1950,A Case Of You,James Blake,2011,"['art pop', 'uk alternative pop']"
1951,Danza Kuduro - Pex L Remix,Don Omar,2012,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'tropical']"
1952,I Believe You,FLETCHER,2018,"['dance pop', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop', 'social media pop']"
1953,Tee Off - Live At The Majestic Theater/2007,Rodney Carrington,2007,"['comedy', 'comic']"
1954,Angels Of Fenway,James Taylor,2015,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
1955,E.M.A,Hiroyuki Sawano,2013,"['anime score', 'japanese soundtrack', 'otacore']"
1956,Cant Leave Em Alone,Ciara,2006,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
1957,roh,Kensuke Ushio,2016,"['anime score', 'japanese soundtrack', 'otacore']"
1958,Groovin - Single Version; Mono,The Young Rascals,1967,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'merseybeat', 'motown', 'psychedelic rock', 'rock-and-roll']"
1959,Único,Joey Montana,2012,"['latin', 'latin hip hop', 'latin pop', 'panamanian pop', 'pop reggaeton', 'reggaeton', 'trap latino', 'tropical']"
1960,405,The Main Squeeze,2017,['retro soul']
1961,Color Green,New Politics,2017,"['indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp pop']"
1962,Bad Boy,Queen Naija,2018,"['pop', 'pop r&b', 'r&b', 'urban contemporary']"
1963,"Falstaff, Act I Pt. 2: Alice. Meg. Nannetta (Live)",Giuseppe Verdi,2019,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']"
1964,All For You,Janet Jackson,2010,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
1965,"Aida: Chi ti salva, sciagurato",Giuseppe Verdi,1991,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']"
1966,I Wanna Know (feat. Bea Miller),NOTD,2018,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house']"
1967,Men In Black,Will Smith,1997,['hip hop']
1968,Adictiva,Daddy Yankee,2018,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']"
1969,Criminal,Disturbed,2008,"['alternative metal', 'nu metal', 'rap metal']"
1970,Fool,Fitz and The Tantrums,2017,"['indie pop', 'indie poptimism', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']"
1971,Blind Date,The Bouncing Souls,2003,"['melodic hardcore', 'new jersey hardcore', 'new jersey punk', 'pop punk', 'punk', 'ska', 'ska punk', 'skate punk']"
1972,Alone,Heart,1987,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock']"
1973,Boulevard (En Vivo),Los Pericos,2017,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']"
1974,Until We Rich - Feat. Krayzie Bone,Ice Cube,2000,"['conscious hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']"
1975,Canadian Rose,Blues Traveler,2002,"['alternative rock', 'blues rock', 'classic rock', 'jam band', 'mellow gold', 'pop rock', 'rock']"
1976,Your Protector,Fleet Foxes,2008,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']"
1977,"Boulevard Of Broken Dreams - feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands, Company [Album Version]",Green Day,2010,"['permanent wave', 'pop punk', 'punk']"
1978,Red House,Jimi Hendrix,1967,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
1979,Are You Punishing Me?,Rachel Portman,2014,"['british soundtrack', 'classic soundtrack', 'compositional ambient', 'scorecore', 'soundtrack']"
1980,Where It All Starts,Thievery Corporation,2011,"['downtempo', 'electronica', 'livetronica', 'nu jazz', 'trip hop']"
1981,Crescent,Anomalie,2018,['jazztronica']
1982,Fear of Intimacy,zack villere,2017,['bedroom pop']
1983,Walking Away,Craig David,2000,"['british soul', 'dance pop', 'pop dance', 'pop rap', 'r&b', 'tropical house', 'urban contemporary']"
1984,The Traffic Jam - Acoustic Version,Stephen Marley,2008,"['modern reggae', 'reggae', 'roots reggae']"
1985,Waiting Around To Die,The Be Good Tanyas,2003,"['alternative country', 'canadian americana', 'folk', 'new americana', 'vancouver indie']"
1986,You & Me,Dave Matthews Band,2009,"['jam band', 'neo mellow', 'pop rock']"
1987,VVS (Dats a Trap),Aidonia,2018,"['dancehall', 'modern reggae', 'reggae fusion', 'riddim', 'soca']"
1988,Montreal,The Weeknd,2012,"['canadian contemporary r&b', 'canadian pop', 'pop']"
1989,The Ultimate Introduction,Steve Harvey,2012,"['black comedy', 'comedy']"
1990,"The Piper at the Gates of Dawn (feat. Ronnie Atkins, Jorn Lande, Eric Martin, Bob Catley & Geoff Tate)",Avantasia,2019,"['german metal', 'german power metal', 'melodic metal', 'metal', 'neo classical metal', 'opera metal', 'power metal', 'symphonic metal']"
1991,Stone,Whiskey Myers,2016,"['modern southern rock', 'texas country']"
1992,Back South,Mansur Brown,2018,"['afrofuturism', 'british jazz', 'indie jazz', 'indie soul']"
1993,Cake And Chicken,Jackie Kashian,2010,"['comedienne', 'new comedy']"
1994,Kick Ass,Egypt Central,2011,"['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']"
1995,Where Did I Go?,Jorja Smith,2018,"['pop', 'uk contemporary r&b']"
1996,What You Know,Two Door Cinema Club,2010,"['indie pop', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie', 'rock']"
1997,Drunk Drivers/Killer Whales,Car Seat Headrest,2016,"['alternative rock', 'art pop', 'indie pop', 'indie rock', 'modern rock']"
1998,Dance Again,Jennifer Lopez,2012,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'urban contemporary']"
1999,Wear Your Seat Belt,Cliff Martinez,2002,['soundtrack']
2000,Tus Ojos No Me Ven - feat. Joewell y Randy,Joey Montana,2010,"['latin', 'latin hip hop', 'latin pop', 'panamanian pop', 'pop reggaeton', 'reggaeton', 'trap latino', 'tropical']"
2001,Love Me Like You Used To,Kaskade,2019,"['big room', 'chicago house', 'edm', 'electro house', 'electropop', 'house', 'pop', 'pop dance', 'progressive house', 'tropical house', 'vocal house']"
2002,Amen,Amber Run,2018,"['indie anthem-folk', 'indie cafe pop', 'indie folk', 'modern alternative rock', 'modern rock']"
2003,Free,H.E.R.,2017,"['alternative r&b', 'pop', 'pop rap', 'r&b']"
2004,"Hold It, Buster!! - Battle of Rap",SPYAIR,2018,"['anime', 'anime rock', 'j-pop', 'j-poprock']"
2005,RUNNIN’ BACK,Leebada,2018,"['k-indie', 'korean r&b']"
2006,Hungry Hippo,Tierra Whack,2018,"['alternative r&b', 'escape room']"
2007,Music To My Ears (feat. Tory Lanez),Keys N Krates,2018,"['bass trap', 'edm', 'electronic trap', 'livetronica', 'vapor twitch']"
2008,Crowded Places,BANKS,2017,"['alternative r&b', 'art pop', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'vapor soul']"
2009,Jeannie (Commentary),Jim Gaffigan,2017,"['clean comedy', 'comedy', 'comic']"
2010,Swing Girl,Goose house,2018,['j-poprock']
2011,Dreamers,K.Flay,2017,"['electropop', 'escape room', 'hip pop', 'indie poptimism', 'indie rock', 'modern alternative rock', 'modern rock', 'pop', 'rock']"
2012,Muchacho Fracasado (En Vivo),Aldo Trujillo,2018,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
2013,"The Barber of Seville, Act II Scene 1: Insomma io ho tutti i torti (Bartoli, Figaro, Count, Rosina)",Gioachino Rossini,1975,"['classical', 'italian opera', 'italian romanticism']"
2014,Ella Baila - Remix,Justin Quiles,2016,"['latin', 'reggaeton', 'trap latino']"
2015,Like Ill Never Love You Again,Carrie Underwood,2015,"['contemporary country', 'country', 'country dawn', 'country road', 'dance pop', 'oklahoma country', 'pop', 'post-teen pop']"
2016,There Will Be Time,Baaba Maal,2017,"['afropop', 'desert blues', 'griot', 'musique peule', 'world']"
2017,Avalanche,Leonard Cohen,1971,"['canadian singer-songwriter', 'folk', 'folk rock', 'melancholia', 'permanent wave', 'singer-songwriter']"
2018,What You Do in the Dark,B.T. Express,1978,"['classic soul', 'disco', 'funk', 'post-disco', 'quiet storm']"
2019,Our Love,Samm Henshaw,2016,"['british soul', 'uk contemporary r&b']"
2020,Smack Up,Snails,2017,"['brostep', 'canadian electronic', 'dubstep', 'edm', 'electro house', 'electronic trap']"
2021,Alone,Marshmello,2016,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']"
2022,君をのせて(天空の城ラピュタより),Yuka,2006,"['anime score', 'japanese instrumental']"
2023,Bright,Kehlani,2015,"['pop', 'pop rap', 'post-teen pop', 'r&b']"
2024,Cant Help Falling in Love,Elvis Presley,1961,"['rock-and-roll', 'rockabilly']"
2025,Ras Tafarian Folk Song,Cymande,1973,"['afrobeat', 'afropop', 'classic soul', 'electronica', 'funk', 'jazz funk', 'psychedelic soul', 'soul', 'world']"
2026,Douce,Hélène Ségara,2006,"['chanson', 'french pop']"
2027,Heaven’s Song,Bethel Music,2015,"['ambient worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']"
2028,Me Without You,TobyMac,2012,"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'worship']"
2029,No Messin,Acoustic Alchemy,2003,"['british jazz', 'smooth jazz']"
2030,Love,Whitney Cummings,2014,"['comedienne', 'comedy', 'deep comedy', 'new comedy']"
2031,"La fille du regiment: Act I: Chorus and Scene: Andiamo! (Chorus, Tonio, Maria, Sulpizio, Corporal)",Gaetano Donizetti,2006,"['early romantic era', 'italian opera', 'italian romanticism']"
2032,Levantado,The Heavy Eyes,2012,"['modern blues rock', 'psychedelic doom', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']"
2033,Way Down We Go - Recorded at Spotify Studios NYC,KALEO,2016,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']"
2034,If She Wants Me,Belle & Sebastian,2003,"['alternative rock', 'anti-folk', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'melancholia', 'scottish indie', 'scottish rock', 'twee pop']"
2035,Million Dollar Bill,Middle Brother,2011,"['alternative country', 'deep new americana', 'indie folk', 'modern folk rock', 'new americana', 'roots rock', 'stomp and holler']"
2036,Find a Way,Clinton Fearon,2006,"['dub', 'french reggae', 'reggae', 'roots reggae']"
2037,FCC Truck,Shane Mauss,2010,"['comedy', 'deep comedy', 'new comedy']"
2038,Twist & Crawl,The English Beat,2012,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'ska', 'ska revival']"
2039,Cheating,Felipe Esparza,2018,"['deep comedy', 'latino comedy']"
2040,Omen,Nobuo Uematsu,1994,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'scorecore', 'video game music']"
2041,Born Free,The Bouncing Souls,2003,"['melodic hardcore', 'new jersey hardcore', 'new jersey punk', 'pop punk', 'punk', 'ska', 'ska punk', 'skate punk']"
2042,Cowboy Song,Thin Lizzy,1976,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'irish rock', 'metal', 'rock']"
2043,All Together,Israel Houghton,2018,"['gospel', 'world worship', 'worship']"
2044,Rocket Queen,Guns N Roses,1987,"['glam metal', 'hard rock', 'rock']"
2045,To Be Alone,Hozier,2014,"['irish singer-songwriter', 'modern rock', 'pop']"
2046,At the River,Groove Armada,2000,"['big beat', 'disco house', 'electronica', 'new rave', 'nu jazz', 'nu skool breaks', 'trip hop']"
2047,Move That Body,Nelly,2010,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
2048,Breaking It Down,Hal Sparks,2010,['deep comedy']
2049,Superlove,Tinashe,2016,"['alternative r&b', 'dance pop', 'electropop', 'hip pop', 'metropopolis', 'pop', 'pop dance', 'pop r&b', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
2050,Fool of Myself,The Band CAMINO,2018,"['electropop', 'hopebeat', 'indie cafe pop', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']"
2051,Final Fight,Ryuichi Sakamoto,2015,"['anime score', 'compositional ambient', 'japanese classical', 'japanese soundtrack']"
2052,Champagne Body,General Levy,1993,"['ragga jungle', 'uk reggae']"
2053,The Fruit of Silence,Pēteris Vasks,2015,"['baltic choir', 'chamber choir', 'choral']"
2054,Luna Llena,Don Omar,2010,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'tropical']"
2055,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley,1990,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz saxophone', 'soul jazz']"
2056,The Dream,Thee Oh Sees,2011,"['alternative rock', 'bay area indie', 'dance-punk', 'double drumming', 'freak folk', 'garage pop', 'garage psych', 'garage rock', 'indie garage rock', 'indie rock', 'neo-psychedelic', 'noise pop', 'nu gaze', 'psychedelic punk', 'punk blues']"
2057,Act 1: Scene One:,Engelbert Humperdinck,2006,['german opera']
2058,Money,Boogie T,2019,"['dubstep', 'electronic trap']"
2059,S Club Party,S Club 7,1999,"['bubblegum dance', 'dance pop', 'europop']"
2060,Contigo la Paso Cabron (feat. Jamsha),J-King y Maximan,2015,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
2061,There Is a Name (Live),Sean Feucht,2018,"['anthem worship', 'ccm', 'deep ccm', 'world worship', 'worship']"
2062,Got Muscle (feat. Peewee Longway & WaveIQ),GoldLink,2019,"['alternative r&b', 'dmv rap', 'hip hop', 'rap', 'underground hip hop']"
2063,Hernia,David Spade,2014,['comedy']
2064,The Blue Tail Fly (Jimmy Cracked Corn),Happy Animals,2009,['nursery']
2065,Lost In The Humming Air - 2005 Digital Remaster,Harold Budd,1984,"['ambient', 'american contemporary classical', 'art pop', 'art rock', 'compositional ambient', 'drone', 'fourth world', 'minimalism']"
2066,Get You Good,Roy Woods,2015,"['canadian contemporary r&b', 'canadian hip hop', 'pop rap', 'trap', 'trap soul']"
2067,Comfortable,K CAMP,2014,"['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2068,Here Without You,3 Doors Down,2002,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
2069,Candy,Cameo,1986,"['disco', 'funk', 'motown', 'new jack swing', 'popping', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
2070,Buddhas Dream,Dean Evenson,1998,"['chakra', 'healing', 'meditation', 'new age', 'sleep', 'world meditation']"
2071,Big Body,ScHoolboy Q,2016,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
2072,Inside,Earl Sweatshirt,2015,"['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']"
2073,Your Name Is Tattooed on My Heart,Screeching Weasel,1996,"['chicago punk', 'melodic hardcore', 'orgcore', 'power-pop punk', 'punk', 'ska punk', 'skate punk']"
2074,Miéntele,Kartel Montana,2018,"['reggaeton flow', 'trap colombiano']"
2075,More Than You Know,Axwell Ingrosso,2017,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
2076,Sarah (Bonus Track),(Sandy) Alex G,2015,"['alternative rock', 'art pop', 'freak folk', 'indie folk', 'indie garage rock', 'indie pop', 'indie rock', 'philly indie']"
2077,End Credits,EDEN,2015,"['indie poptimism', 'modern rock', 'pop']"
2078,GLOWED UP,KAYTRANADA,2016,"['escape room', 'indie soul', 'lgbtq+ hip hop']"
2079,Lost Me,Mike Stud,2018,"['indie pop rap', 'pop rap', 'rap', 'rhode island rap']"
2080,Saare Jahan Se Aacha Hindustan - Unique,Chorus,2014,"['classic bollywood', 'desi pop', 'filmi', 'ghazal', 'modern bollywood', 'sufi']"
2081,Home Recording,Mount Kimbie,2013,"['bass music', 'chamber psych', 'chillwave', 'electra', 'electronica', 'future garage', 'indie soul', 'microhouse']"
2082,Replicants - Kompany Remix,Black Tiger Sex Machine,2018,"['brostep', 'canadian electronic', 'dubstep', 'edm', 'electro house', 'electro trash', 'electronic trap']"
2083,Ellos Quieren (feat. Cosculluela),Revol,2007,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
2084,GO!,Common,2005,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'neo soul', 'political hip hop', 'rap', 'southern hip hop']"
2085,Reggae Summertime,The Aggrolites,2009,"['rock steady', 'ska', 'ska punk', 'ska revival', 'traditional ska']"
2086,Awnaw - All Hooks up Version,Nappy Roots,2002,"['dirty south rap', 'gangster rap', 'southern hip hop']"
2087,Love Myself - Acoustic,Olivia OBrien,2019,"['pop', 'post-teen pop']"
2088,Loca,Alvaro Soler,2019,['latin pop']
2089,Schwindelig - Original,Kollektiv Turmstrasse,2010,"['electronica', 'german techno', 'hamburg electronic', 'microhouse', 'minimal techno', 'organic electronic', 'tech house']"
2090,Granddaddys Gun,Aaron Lewis,2012,"['alternative metal', 'contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'redneck']"
2091,Distraction,Kehlani,2017,"['pop', 'pop rap', 'post-teen pop', 'r&b']"
2092,Koop Island Blues,Koop,2007,"['electronica', 'jazztronica', 'nu jazz', 'swedish jazz', 'trip hop']"
